Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
171,KY,Kentucky,3," 553,926 "," 3,786 "," 410,943 "," 3,064 ", 74.2 , 0.3 ," 117,485 "," 2,232 ", 21.2 , 0.4 ," 10,669 "," 1,320 ", 1.9 , 0.2 , N , N , N , N , N , N , N , N ," 3,796 "," 1,442 ", 0.7 , 0.3 ," 9,967 "," 4,011 ", 1.8 , 0.7 ," 13,047 "," 2,090 ", 2.4 , 0.4 ," 401,441 "," 2,555 ", 72.5 , 0.4 
172,KY,Kentucky,4," 565,232 "," 4,216 "," 532,650 "," 3,875 ", 94.2 , 0.4 ," 19,105 "," 1,992 ", 3.4 , 0.3 ," 3,944 "," 1,090 ", 0.7 , 0.2 , N , N , N , N , N , N , N , N ," 1,600 ", 728 , 0.3 , 0.1 ," 7,153 "," 3,178 ", 1.3 , 0.6 ," 9,796 "," 1,665 ", 1.7 , 0.3 ," 525,001 "," 3,555 ", 92.9 , 0.4 
173,KY,Kentucky,5," 537,877 "," 3,689 "," 525,043 "," 3,824 ", 97.6 , 0.3 ," 7,435 "," 1,753 ", 1.4 , 0.3 , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N ," 2,761 ", 853 , 0.5 , 0.2 ," 523,013 "," 3,755 ", 97.2 , 0.3 
174,KY,Kentucky,6," 581,992 "," 4,750 "," 510,833 "," 4,925 ", 87.8 , 0.5 ," 50,296 "," 2,596 ", 8.6 , 0.4 ," 6,486 "," 1,040 ", 1.1 , 0.2 , N , N , N , N , N , N , N , N ," 2,552 ", 927 , 0.4 , 0.2 ," 11,851 "," 3,813 ", 2.0 , 0.7 ," 9,886 "," 1,541 ", 1.7 , 0.3 ," 504,284 "," 4,558 ", 86.6 , 0.5 
175,LA,Louisiana,1," 594,231 "," 7,375 "," 481,558 "," 6,999 ", 81.0 , 0.9 ," 83,543 "," 5,021 ", 14.1 , 0.8 ," 10,143 "," 1,635 ", 1.7 , 0.3 ," 7,301 "," 2,882 ", 1.2 , 0.5 , N , N , N , N ," 4,112 "," 1,142 ", 0.7 , 0.2 ," 7,990 "," 3,920 ", 1.3 , 0.7 ," 32,247 "," 2,597 ", 5.4 , 0.4 ," 456,106 "," 6,586 ", 76.8 , 0.9 
176,LA,Louisiana,2," 587,115 "," 8,471 "," 196,226 "," 5,926 ", 33.4 , 0.9 ," 365,548 "," 8,095 ", 62.3 , 0.9 ," 9,691 "," 1,637 ", 1.7 , 0.3 , N , N , N , N , N , N , N , N ," 5,976 "," 1,733 ", 1.0 , 0.3 ," 8,638 "," 3,972 ", 1.5 , 0.7 ," 20,855 "," 2,488 ", 3.6 , 0.4 ," 183,058 "," 5,696 ", 31.2 , 0.9 
177,LA,Louisiana,3," 577,604 "," 2,928 "," 420,921 "," 3,022 ", 72.9 , 0.2 ," 140,311 "," 4,926 ", 24.3 , 0.8 ," 4,398 ", 781 , 0.8 , 0.1 , N , N , N , N , N , N , N , N ," 2,350 ", 844 , 0.4 , 0.1 ," 8,333 "," 3,597 ", 1.4 , 0.6 ," 14,482 "," 1,674 ", 2.5 , 0.3 ," 409,305 "," 2,417 ", 70.9 , 0.3 
178,LA,Louisiana,4," 559,310 "," 2,947 "," 349,404 "," 2,573 ", 62.5 , 0.4 ," 188,481 "," 2,882 ", 33.7 , 0.5 ," 4,016 ", 844 , 0.7 , 0.2 , N , N , N , N , N , N , N , N ," 4,193 "," 1,221 ", 0.7 , 0.2 ," 9,015 "," 3,308 ", 1.6 , 0.6 ," 15,146 "," 1,136 ", 2.7 , 0.2 ," 340,455 "," 2,405 ", 60.9 , 0.3 
179,LA,Louisiana,5," 555,804 "," 4,901 "," 351,763 "," 4,369 ", 63.3 , 0.6 ," 191,610 "," 8,153 ", 34.5 , 1.4 ," 2,581 "," 1,124 ", 0.5 , 0.2 , N , N , N , N , N , N , N , N ," 2,772 "," 1,228 ", 0.5 , 0.2 ," 5,996 "," 3,671 ", 1.1 , 0.7 ," 8,930 "," 1,531 ", 1.6 , 0.3 ," 345,989 "," 4,341 ", 62.3 , 0.6 
180,LA,Louisiana,6," 585,015 "," 7,251 "," 427,098 "," 5,510 ", 73.0 , 0.9 ," 135,054 "," 6,889 ", 23.1 , 1.0 ," 7,651 "," 1,669 ", 1.3 , 0.3 , N , N , N , N , N , N , N , N ," 2,631 "," 1,234 ", 0.4 , 0.2 ," 9,963 "," 2,507 ", 1.7 , 0.4 ," 13,388 "," 2,518 ", 2.3 , 0.4 ," 417,345 "," 4,893 ", 71.3 , 0.9 
181,ME,Maine,1," 546,625 "," 3,606 "," 523,065 "," 3,075 ", 95.7 , 0.4 ," 4,832 "," 1,372 ", 0.9 , 0.2 ," 6,318 ", 814 , 1.2 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 9,504 "," 2,679 ", 1.7 , 0.5 ," 9,152 ", 769 , 1.7 , 0.1 ," 516,350 "," 2,914 ", 94.5 , 0.4 
182,ME,Maine,2," 524,036 "," 3,159 "," 504,203 "," 2,892 ", 96.2 , 0.2 ," 3,444 ", 787 , 0.7 , 0.1 ," 2,111 ", 675 , 0.4 , 0.1 ," 4,657 ", 734 , 0.9 , 0.1 , N , N , N , N , N , N , N , N ," 9,244 "," 2,080 ", 1.8 , 0.4 ," 5,918 ", 674 , 1.1 , 0.1 ," 500,004 "," 2,663 ", 95.4 , 0.3 
183,MD,Maryland,1," 567,926 "," 5,943 "," 479,256 "," 5,981 ", 84.4 , 0.6 ," 67,759 "," 3,436 ", 11.9 , 0.6 ," 8,288 "," 1,392 ", 1.5 , 0.2 , N , N , N , N , N , N , N , N ," 2,982 ", 984 , 0.5 , 0.2 ," 8,731 "," 1,720 ", 1.5 , 0.3 ," 13,559 "," 1,760 ", 2.4 , 0.3 ," 470,557 "," 5,693 ", 82.9 , 0.6 
184,MD,Maryland,2," 560,167 "," 10,243 "," 323,003 "," 7,836 ", 57.7 , 1.3 ," 188,784 "," 9,277 ", 33.7 , 1.3 ," 24,835 "," 3,156 ", 4.4 , 0.6 , N , N , N , N , N , N , N , N ," 6,579 "," 2,095 ", 1.2 , 0.4 ," 15,272 "," 2,579 ", 2.7 , 0.5 ," 24,317 "," 3,050 ", 4.3 , 0.5 ," 309,612 "," 7,221 ", 55.3 , 1.2 
185,MD,Maryland,3," 545,892 "," 12,375 "," 369,823 "," 8,709 ", 67.7 , 1.6 ," 118,047 "," 9,215 ", 21.6 , 1.4 ," 34,330 "," 3,814 ", 6.3 , 0.7 , N , N , N , N , N , N , N , N ," 8,064 "," 2,500 ", 1.5 , 0.4 ," 13,885 "," 2,274 ", 2.5 , 0.4 ," 28,000 "," 4,097 ", 5.1 , 0.7 ," 354,564 "," 8,642 ", 65.0 , 1.5 
186,MD,Maryland,4," 503,398 "," 11,202 "," 156,560 "," 6,351 ", 31.1 , 1.1 ," 294,846 "," 9,072 ", 58.6 , 1.3 ," 13,788 "," 1,997 ", 2.7 , 0.4 , N , N , N , N , N , N , N , N ," 23,279 "," 3,348 ", 4.6 , 0.7 ," 14,139 "," 3,212 ", 2.8 , 0.6 ," 38,317 "," 3,113 ", 7.6 , 0.6 ," 145,950 "," 5,869 ", 29.0 , 1.0 
187,MD,Maryland,5," 556,897 "," 9,297 "," 280,604 "," 5,562 ", 50.4 , 1.0 ," 223,875 "," 7,699 ", 40.2 , 1.0 ," 21,240 "," 1,950 ", 3.8 , 0.4 , N , N , N , N , N , N , N , N ," 12,694 "," 2,572 ", 2.3 , 0.5 ," 16,235 "," 2,852 ", 2.9 , 0.5 ," 29,866 "," 4,059 ", 5.4 , 0.7 ," 267,368 "," 4,756 ", 48.0 , 0.9 
188,MD,Maryland,6," 523,698 "," 8,346 "," 379,330 "," 7,873 ", 72.4 , 1.2 ," 70,654 "," 5,694 ", 13.5 , 1.1 ," 46,840 "," 3,989 ", 8.9 , 0.7 , N , N , N , N , N , N , N , N ," 10,979 "," 2,919 ", 2.1 , 0.5 ," 13,954 "," 2,198 ", 2.7 , 0.4 ," 43,603 "," 4,917 ", 8.3 , 0.9 ," 351,139 "," 6,157 ", 67.0 , 1.1 
189,MD,Maryland,7," 528,398 "," 10,931 "," 199,610 "," 6,652 ", 37.8 , 1.1 ," 283,515 "," 8,945 ", 53.7 , 1.2 ," 26,141 "," 2,895 ", 4.9 , 0.5 , N , N , N , N , N , N , N , N ," 3,712 "," 1,310 ", 0.7 , 0.2 ," 13,432 "," 2,604 ", 2.5 , 0.5 ," 14,254 "," 2,348 ", 2.7 , 0.4 ," 191,424 "," 6,247 ", 36.2 , 1.1 
190,MD,Maryland,8," 533,774 "," 9,035 "," 380,121 "," 7,570 ", 71.2 , 1.3 ," 66,901 "," 4,693 ", 12.5 , 0.9 ," 43,419 "," 3,779 ", 8.1 , 0.7 , N , N , N , N , N , N , N , N ," 24,354 "," 5,683 ", 4.6 , 1.0 ," 17,589 "," 2,628 ", 3.3 , 0.5 ," 54,337 "," 5,527 ", 10.2 , 1.0 ," 354,289 "," 7,441 ", 66.4 , 1.2 
191,MA,Massachusetts,1," 568,024 "," 5,218 "," 499,193 "," 5,506 ", 87.9 , 0.6 ," 34,587 "," 2,002 ", 6.1 , 0.4 ," 8,899 "," 1,137 ", 1.6 , 0.2 , N , N , N , N , N , N , N , N ," 14,892 "," 2,761 ", 2.6 , 0.5 ," 8,920 "," 1,405 ", 1.6 , 0.2 ," 89,732 "," 2,170 ", 15.8 , 0.4 ," 430,962 "," 4,949 ", 75.9 , 0.4 
192,MA,Massachusetts,2," 558,962 "," 8,532 "," 492,821 "," 8,331 ", 88.2 , 0.7 ," 21,037 "," 1,915 ", 3.8 , 0.3 ," 22,444 "," 2,415 ", 4.0 , 0.4 , N , N , N , N , N , N , N , N ," 9,865 "," 2,259 ", 1.8 , 0.4 ," 11,041 "," 1,733 ", 2.0 , 0.3 ," 45,931 "," 3,367 ", 8.2 , 0.6 ," 460,130 "," 7,913 ", 82.3 , 0.8 
193,MA,Massachusetts,3," 543,580 "," 9,566 "," 434,252 "," 11,478 ", 79.9 , 1.4 ," 21,573 "," 3,828 ", 4.0 , 0.7 ," 32,981 "," 3,793 ", 6.1 , 0.7 , N , N , N , N , N , N , N , N ," 41,121 "," 4,841 ", 7.6 , 0.9 ," 11,848 "," 1,873 ", 2.2 , 0.3 ," 79,786 "," 5,021 ", 14.7 , 0.9 ," 401,996 "," 11,487 ", 74.0 , 1.4 
194,MA,Massachusetts,4," 559,943 "," 7,776 "," 500,494 "," 8,237 ", 89.4 , 0.7 ," 14,662 "," 2,779 ", 2.6 , 0.5 ," 26,307 "," 2,417 ", 4.7 , 0.4 , N , N , N , N , N , N , N , N ," 8,756 "," 2,629 ", 1.6 , 0.5 ," 8,668 "," 1,562 ", 1.5 , 0.3 ," 21,613 "," 2,575 ", 3.9 , 0.5 ," 486,415 "," 8,068 ", 86.9 , 0.8 
195,MA,Massachusetts,5," 535,109 "," 10,214 "," 441,170 "," 9,594 ", 82.4 , 1.0 ," 25,571 "," 3,467 ", 4.8 , 0.6 ," 44,109 "," 3,623 ", 8.2 , 0.7 , N , N , N , N , N , N , N , N ," 9,309 "," 2,095 ", 1.7 , 0.4 ," 14,385 "," 2,388 ", 2.7 , 0.4 ," 37,051 "," 3,461 ", 6.9 , 0.6 ," 417,609 "," 9,366 ", 78.0 , 1.1 
196,MA,Massachusetts,6," 577,241 "," 6,734 "," 514,726 "," 8,110 ", 89.2 , 0.8 ," 20,886 "," 2,732 ", 3.6 , 0.5 ," 20,960 "," 3,294 ", 3.6 , 0.6 , N , N , N , N , N , N , N , N ," 10,401 "," 2,509 ", 1.8 , 0.4 ," 8,878 "," 2,174 ", 1.5 , 0.4 ," 37,241 "," 3,753 ", 6.5 , 0.6 ," 492,977 "," 8,119 ", 85.4 , 0.9 
197,MA,Massachusetts,7," 558,430 "," 11,033 "," 322,232 "," 9,249 ", 57.7 , 1.1 ," 133,572 "," 5,169 ", 23.9 , 0.8 ," 48,466 "," 4,055 ", 8.7 , 0.7 , N , N , N , N , N , N , N , N ," 29,098 "," 3,493 ", 5.2 , 0.6 ," 22,095 "," 3,361 ", 4.0 , 0.6 ," 86,346 "," 5,624 ", 15.5 , 0.9 ," 281,804 "," 7,164 ", 50.5 , 1.0 
198,MA,Massachusetts,8," 561,241 "," 10,353 "," 451,130 "," 9,041 ", 80.4 , 1.0 ," 51,412 "," 3,832 ", 9.2 , 0.7 ," 34,006 "," 3,716 ", 6.1 , 0.6 , N , N , N , N , N , N , N , N ," 12,980 "," 2,862 ", 2.3 , 0.5 ," 10,407 "," 2,264 ", 1.9 , 0.4 ," 25,380 "," 3,263 ", 4.5 , 0.6 ," 437,245 "," 8,538 ", 77.9 , 1.0 
199,MA,Massachusetts,9," 573,274 "," 7,656 "," 520,971 "," 7,687 ", 90.9 , 0.7 ," 14,079 "," 2,160 ", 2.5 , 0.4 ," 6,223 "," 1,482 ", 1.1 , 0.3 , N , N , N , N , N , N , N , N ," 20,564 "," 2,739 ", 3.6 , 0.5 ," 9,796 "," 1,981 ", 1.7 , 0.3 ," 25,238 "," 2,930 ", 4.4 , 0.5 ," 511,335 "," 7,687 ", 89.2 , 0.8 
200,MI,Michigan,1," 564,858 "," 1,561 "," 526,005 "," 1,364 ", 93.1 , 0.2 ," 8,008 "," 1,110 ", 1.4 , 0.2 ," 2,318 ", 534 , 0.4 , 0.1 ," 13,991 "," 1,843 ", 2.5 , 0.3 , N , N , N , N , N , N , N , N ," 12,946 "," 2,286 ", 2.3 , 0.4 ," 7,068 ", 953 , 1.3 , 0.2 ," 521,391 "," 1,014 ", 92.3 , 0.2 
201,MI,Michigan,2," 551,323 "," 4,776 "," 483,612 "," 4,840 ", 87.7 , 0.7 ," 31,227 "," 2,218 ", 5.7 , 0.4 ," 10,108 "," 1,494 ", 1.8 , 0.3 ," 4,143 "," 1,428 ", 0.8 , 0.3 , N , N , N , N ," 12,026 "," 3,156 ", 2.2 , 0.6 ," 10,915 "," 3,563 ", 2.0 , 0.6 ," 36,598 "," 2,762 ", 6.6 , 0.5 ," 462,160 "," 4,430 ", 83.8 , 0.6 
202,MI,Michigan,3," 551,028 "," 4,362 "," 481,704 "," 4,710 ", 87.4 , 0.6 ," 41,431 "," 2,800 ", 7.5 , 0.5 ," 6,985 "," 1,284 ", 1.3 , 0.2 , N , N , N , N , N , N , N , N ," 5,726 "," 1,473 ", 1.0 , 0.3 ," 13,090 "," 4,233 ", 2.4 , 0.8 ," 26,456 "," 2,415 ", 4.8 , 0.4 ," 464,680 "," 4,328 ", 84.3 , 0.6 
203,MI,Michigan,4," 554,938 "," 2,626 "," 526,676 "," 2,565 ", 94.9 , 0.3 ," 10,988 "," 1,534 ", 2.0 , 0.3 ," 3,224 ", 762 , 0.6 , 0.1 , N , N , N , N , N , N , N , N , N , N , N , N ," 7,859 "," 2,155 ", 1.4 , 0.4 ," 15,030 "," 1,099 ", 2.7 , 0.2 ," 515,278 "," 2,623 ", 92.9 , 0.3 
204,MI,Michigan,5," 520,558 "," 2,700 "," 415,581 "," 2,551 ", 79.8 , 0.3 ," 86,291 "," 4,439 ", 16.6 , 0.8 ," 3,630 ", 667 , 0.7 , 0.1 , N , N , N , N , N , N , N , N , N , N , N , N ," 11,210 "," 3,914 ", 2.2 , 0.8 ," 20,993 ", 866 , 4.0 , 0.2 ," 399,720 "," 2,574 ", 76.8 , 0.2 
205,MI,Michigan,6," 541,981 "," 3,071 "," 473,725 "," 2,705 ", 87.4 , 0.4 ," 41,084 "," 1,728 ", 7.6 , 0.3 ," 5,902 ", 931 , 1.1 , 0.2 , N , N , N , N , N , N , N , N ," 3,935 "," 1,209 ", 0.7 , 0.2 ," 15,409 "," 3,384 ", 2.8 , 0.6 ," 20,545 "," 1,359 ", 3.8 , 0.2 ," 459,777 "," 2,311 ", 84.8 , 0.4 
206,MI,Michigan,7," 548,462 "," 2,889 "," 506,913 "," 3,090 ", 92.4 , 0.4 ," 21,043 "," 1,518 ", 3.8 , 0.3 ," 4,514 "," 1,032 ", 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 3,757 "," 1,441 ", 0.7 , 0.3 ," 10,629 "," 2,795 ", 1.9 , 0.5 ," 18,784 "," 1,177 ", 3.4 , 0.2 ," 492,488 "," 2,814 ", 89.8 , 0.3 
207,MI,Michigan,8," 554,462 "," 5,219 "," 491,959 "," 4,924 ", 88.7 , 0.6 ," 30,808 "," 2,617 ", 5.6 , 0.5 ," 15,727 "," 1,823 ", 2.8 , 0.3 , N , N , N , N , N , N , N , N ," 3,539 "," 1,026 ", 0.6 , 0.2 ," 11,053 "," 3,345 ", 2.0 , 0.6 ," 23,746 "," 1,653 ", 4.3 , 0.3 ," 474,565 "," 4,676 ", 85.6 , 0.6 
208,MI,Michigan,9," 552,114 "," 6,344 "," 447,958 "," 6,389 ", 81.1 , 0.7 ," 74,602 "," 3,767 ", 13.5 , 0.7 ," 16,366 "," 2,268 ", 3.0 , 0.4 , N , N , N , N , N , N , N , N , N , N , N , N ," 9,518 "," 2,168 ", 1.7 , 0.4 ," 11,679 "," 1,929 ", 2.1 , 0.3 ," 438,566 "," 6,278 ", 79.4 , 0.8 
209,MI,Michigan,10," 553,804 "," 5,635 "," 516,738 "," 5,942 ", 93.3 , 0.7 ," 17,298 "," 3,829 ", 3.1 , 0.7 ," 8,270 "," 2,262 ", 1.5 , 0.4 , N , N , N , N , N , N , N , N , N , N , N , N ," 7,652 "," 1,458 ", 1.4 , 0.3 ," 13,094 "," 1,211 ", 2.4 , 0.2 ," 506,372 "," 5,740 ", 91.4 , 0.7 
210,MI,Michigan,11," 534,817 "," 6,785 "," 456,915 "," 7,224 ", 85.4 , 0.9 ," 28,362 "," 3,458 ", 5.3 , 0.7 ," 36,706 "," 2,906 ", 6.9 , 0.5 , N , N , N , N , N , N , N , N ," 1,984 ", 788 , 0.4 , 0.1 ," 9,763 "," 1,875 ", 1.8 , 0.3 ," 10,805 "," 1,779 ", 2.0 , 0.3 ," 447,997 "," 7,056 ", 83.8 , 0.9 
211,MI,Michigan,12," 526,943 "," 7,440 "," 427,794 "," 6,999 ", 81.2 , 0.8 ," 57,547 "," 3,880 ", 10.9 , 0.7 ," 20,590 "," 2,112 ", 3.9 , 0.4 , N , N , N , N , N , N , N , N ," 5,506 "," 1,746 ", 1.0 , 0.3 ," 13,673 "," 2,176 ", 2.6 , 0.4 ," 25,373 "," 2,584 ", 4.8 , 0.5 ," 408,989 "," 6,862 ", 77.6 , 0.8 
212,MI,Michigan,13," 474,739 "," 8,475 "," 189,735 "," 5,679 ", 40.0 , 1.0 ," 263,216 "," 7,131 ", 55.4 , 1.1 ," 4,158 "," 1,417 ", 0.9 , 0.3 , N , N , N , N , N , N , N , N ," 7,211 "," 1,993 ", 1.5 , 0.4 ," 8,375 "," 1,724 ", 1.8 , 0.4 ," 20,615 "," 2,626 ", 4.3 , 0.5 ," 178,151 "," 5,714 ", 37.5 , 1.1 
213,MI,Michigan,14," 512,851 "," 9,342 "," 184,289 "," 6,693 ", 35.9 , 1.1 ," 296,868 "," 7,939 ", 57.9 , 1.1 ," 15,811 "," 2,503 ", 3.1 , 0.5 , N , N , N , N , N , N , N , N ," 3,012 ", 927 , 0.6 , 0.2 ," 11,358 "," 2,182 ", 2.2 , 0.4 ," 14,057 "," 2,212 ", 2.7 , 0.4 ," 173,468 "," 6,836 ", 33.8 , 1.1 
214,MN,Minnesota,1," 500,330 "," 2,914 "," 468,265 "," 2,417 ", 93.6 , 0.4 ," 10,688 "," 1,127 ", 2.1 , 0.2 ," 9,395 "," 1,049 ", 1.9 , 0.2 , N , N , N , N , N , N , N , N ," 4,704 "," 1,380 ", 0.9 , 0.3 ," 5,515 "," 2,659 ", 1.1 , 0.5 ," 17,539 "," 1,817 ", 3.5 , 0.3 ," 456,613 "," 1,682 ", 91.3 , 0.4 
215,MN,Minnesota,2," 511,914 "," 3,848 "," 456,311 "," 3,810 ", 89.1 , 0.6 ," 19,080 "," 2,186 ", 3.7 , 0.4 ," 19,304 "," 1,571 ", 3.8 , 0.3 , N , N , N , N , N , N , N , N ," 5,480 "," 1,422 ", 1.1 , 0.3 ," 9,119 "," 3,782 ", 1.8 , 0.7 ," 19,926 "," 1,683 ", 3.9 , 0.3 ," 443,431 "," 3,139 ", 86.6 , 0.6 
216,MN,Minnesota,3," 517,834 "," 7,590 "," 444,126 "," 7,574 ", 85.8 , 0.8 ," 30,981 "," 3,782 ", 6.0 , 0.7 ," 28,398 "," 2,651 ", 5.5 , 0.5 , N , N , N , N , N , N , N , N ," 3,228 "," 1,028 ", 0.6 , 0.2 ," 10,119 "," 1,706 ", 2.0 , 0.3 ," 11,512 "," 2,007 ", 2.2 , 0.4 ," 436,516 "," 7,866 ", 84.3 , 0.9 
217,MN,Minnesota,4," 510,862 "," 5,084 "," 397,340 "," 3,871 ", 77.8 , 0.7 ," 42,928 "," 2,234 ", 8.4 , 0.4 ," 46,885 "," 2,845 ", 9.2 , 0.5 , N , N , N , N , N , N , N , N ," 6,263 "," 1,516 ", 1.2 , 0.3 ," 13,954 "," 1,703 ", 2.7 , 0.3 ," 21,515 "," 1,762 ", 4.2 , 0.3 ," 384,868 "," 3,376 ", 75.3 , 0.6 
218,MN,Minnesota,5," 517,155 "," 6,617 "," 395,730 "," 7,891 ", 76.5 , 0.9 ," 68,758 "," 4,352 ", 13.3 , 0.8 ," 21,618 "," 2,750 ", 4.2 , 0.5 ," 6,451 "," 2,492 ", 1.2 , 0.5 , N , N , N , N ," 7,921 "," 1,650 ", 1.5 , 0.3 ," 16,732 "," 2,000 ", 3.2 , 0.4 ," 21,973 "," 2,190 ", 4.2 , 0.4 ," 384,238 "," 7,701 ", 74.3 , 0.9 
219,MN,Minnesota,6," 525,551 "," 4,938 "," 490,648 "," 4,709 ", 93.4 , 0.6 ," 11,041 "," 1,985 ", 2.1 , 0.4 ," 10,362 "," 1,330 ", 2.0 , 0.3 , N , N , N , N , N , N , N , N ," 3,251 "," 1,551 ", 0.6 , 0.3 ," 8,516 "," 3,530 ", 1.6 , 0.7 ," 12,087 "," 1,517 ", 2.3 , 0.3 ," 482,683 "," 4,455 ", 91.8 , 0.6 
220,MN,Minnesota,7," 495,727 "," 2,489 "," 464,118 "," 2,173 ", 93.6 , 0.3 ," 5,225 ", 917 , 1.1 , 0.2 ," 2,580 ", 558 , 0.5 , 0.1 ," 11,787 "," 1,847 ", 2.4 , 0.4 , N , N , N , N ," 4,601 ", 925 , 0.9 , 0.2 ," 7,435 "," 1,851 ", 1.5 , 0.4 ," 13,527 "," 1,243 ", 2.7 , 0.2 ," 456,881 "," 1,907 ", 92.2 , 0.3 
221,MN,Minnesota,8," 527,541 "," 1,381 "," 496,067 "," 1,195 ", 94.0 , 0.2 ," 5,830 "," 1,009 ", 1.1 , 0.2 ," 3,378 ", 689 , 0.6 , 0.1 ," 12,081 "," 1,653 ", 2.3 , 0.3 , N , N , N , N ," 1,031 ", 551 , 0.2 , 0.1 ," 9,265 "," 2,477 ", 1.8 , 0.5 ," 6,662 ", 744 , 1.3 , 0.1 ," 491,785 "," 1,142 ", 93.2 , 0.2 
222,MS,Mississippi,1," 577,880 "," 2,748 "," 402,803 "," 2,445 ", 69.7 , 0.4 ," 160,869 "," 5,915 ", 27.8 , 1.0 ," 2,353 ", 901 , 0.4 , 0.2 , N , N , N , N , N , N , N , N ," 3,551 "," 1,392 ", 0.6 , 0.2 ," 6,912 "," 3,370 ", 1.2 , 0.6 ," 9,613 "," 1,338 ", 1.7 , 0.2 ," 397,756 "," 2,177 ", 68.8 , 0.4 
223,MS,Mississippi,2," 523,479 "," 4,699 "," 177,092 "," 4,348 ", 33.8 , 0.7 ," 340,371 "," 8,187 ", 65.0 , 1.5 , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N ," 5,263 "," 1,306 ", 1.0 , 0.2 ," 174,095 "," 4,112 ", 33.3 , 0.7 
224,MS,Mississippi,3," 559,913 "," 5,338 "," 345,797 "," 4,881 ", 61.8 , 0.8 ," 200,767 "," 8,756 ", 35.9 , 1.5 ," 3,288 ", 895 , 0.6 , 0.2 ," 5,056 ", 949 , 0.9 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 5,431 "," 1,548 ", 1.0 , 0.3 ," 342,068 "," 4,943 ", 61.1 , 0.8 
225,MS,Mississippi,4," 579,386 "," 3,131 "," 426,215 "," 2,904 ", 73.6 , 0.4 ," 135,118 "," 5,936 ", 23.3 , 1.0 ," 6,514 ", 842 , 1.1 , 0.1 , N , N , N , N , N , N , N , N ," 3,910 "," 1,456 ", 0.7 , 0.3 ," 7,129 "," 4,152 ", 1.2 , 0.7 ," 15,661 "," 1,971 ", 2.7 , 0.3 ," 416,172 "," 2,323 ", 71.8 , 0.5 
226,MO,Missouri,1," 549,361 "," 6,958 "," 260,192 "," 5,995 ", 47.4 , 0.8 ," 261,201 "," 4,273 ", 47.5 , 0.8 ," 10,437 "," 1,872 ", 1.9 , 0.3 , N , N , N , N , N , N , N , N ," 4,424 "," 1,694 ", 0.8 , 0.3 ," 11,462 "," 3,700 ", 2.1 , 0.7 ," 11,442 "," 1,743 ", 2.1 , 0.3 ," 252,875 "," 5,742 ", 46.0 , 0.7 
227,MO,Missouri,2," 575,828 "," 8,830 "," 523,122 "," 8,099 ", 90.8 , 0.7 ," 22,595 "," 5,090 ", 3.9 , 0.9 ," 20,250 "," 2,570 ", 3.5 , 0.4 , N , N , N , N , N , N , N , N , N , N , N , N ," 6,756 "," 3,471 ", 1.2 , 0.6 ," 11,665 "," 1,686 ", 2.0 , 0.3 ," 514,031 "," 8,053 ", 89.3 , 0.7 
228,MO,Missouri,3," 602,748 "," 6,241 "," 567,355 "," 5,778 ", 94.1 , 0.4 ," 21,213 "," 3,282 ", 3.5 , 0.5 ," 3,000 "," 1,064 ", 0.5 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 8,782 "," 2,967 ", 1.5 , 0.5 ," 8,947 "," 1,500 ", 1.5 , 0.2 ," 560,137 "," 5,543 ", 92.9 , 0.5 
229,MO,Missouri,4," 584,925 "," 4,248 "," 532,568 "," 3,744 ", 91.0 , 0.3 ," 25,895 "," 1,922 ", 4.4 , 0.3 ," 5,980 "," 1,411 ", 1.0 , 0.2 , N , N , N , N , N , N , N , N ," 2,765 ", 974 , 0.5 , 0.2 ," 13,236 "," 3,768 ", 2.3 , 0.6 ," 16,368 "," 1,180 ", 2.8 , 0.2 ," 519,509 "," 3,678 ", 88.8 , 0.3 
